LotNo,生産量,生産開始時刻,生産終了時刻,生産設備名,工程名
LOT1001,152,2024-04-01 09:00:00,2024-04-01 11:00:00,Line2,process_A
LOT1002,188,2024-04-01 10:00:00,2024-04-01 12:00:00,Line1,process_A
LOT1003,385,2024-04-01 11:00:00,2024-04-01 13:00:00,Line2,process_A
LOT1004,136,2024-04-01 12:00:00,2024-04-01 14:00:00,Line2,process_A
LOT1005,288,2024-04-01 13:00:00,2024-04-01 15:00:00,Line2,process_A
LOT1006,377,2024-04-01 14:00:00,2024-04-01 16:00:00,Line2,process_A
LOT1007,332,2024-04-01 15:00:00,2024-04-01 17:00:00,Line2,process_A
LOT1008,492,2024-04-01 16:00:00,2024-04-01 18:00:00,Line2,process_A
LOT1009,136,2024-04-01 17:00:00,2024-04-01 19:00:00,Line3,process_A
LOT1010,272,2024-04-01 18:00:00,2024-04-01 20:00:00,Line2,process_A
