LotNo,生産量,生産開始時刻,生産終了時刻,生産設備名,工程名
LOT1011,167,2024-04-01 19:00:00,2024-04-01 21:00:00,Line2,process_B
LOT1012,432,2024-04-01 20:00:00,2024-04-01 22:00:00,Line1,process_B
LOT1013,264,2024-04-01 21:00:00,2024-04-01 23:00:00,Line3,process_B
LOT1014,325,2024-04-01 22:00:00,2024-04-02 00:00:00,Line3,process_B
LOT1015,105,2024-04-01 23:00:00,2024-04-02 01:00:00,Line1,process_B
LOT1016,166,2024-04-02 00:00:00,2024-04-02 02:00:00,Line1,process_B
LOT1017,484,2024-04-02 01:00:00,2024-04-02 03:00:00,Line1,process_B
LOT1018,334,2024-04-02 02:00:00,2024-04-02 04:00:00,Line2,process_B
LOT1019,385,2024-04-02 03:00:00,2024-04-02 05:00:00,Line1,process_B
LOT1020,446,2024-04-02 04:00:00,2024-04-02 06:00:00,Line3,process_B
