LotNo,生産量,生産開始時刻,生産終了時刻,生産設備名,工程名
LOT1031,378,2024-04-02 15:00:00,2024-04-02 17:00:00,Line3,process_D
LOT1032,380,2024-04-02 16:00:00,2024-04-02 18:00:00,Line3,process_D
LOT1033,284,2024-04-02 17:00:00,2024-04-02 19:00:00,Line2,process_D
LOT1034,492,2024-04-02 18:00:00,2024-04-02 20:00:00,Line2,process_D
LOT1035,359,2024-04-02 19:00:00,2024-04-02 21:00:00,Line3,process_D
LOT1036,338,2024-04-02 20:00:00,2024-04-02 22:00:00,Line3,process_D
LOT1037,335,2024-04-02 21:00:00,2024-04-02 23:00:00,Line3,process_D
LOT1038,154,2024-04-02 22:00:00,2024-04-03 00:00:00,Line1,process_D
LOT1039,374,2024-04-02 23:00:00,2024-04-03 01:00:00,Line1,process_D
LOT1040,190,2024-04-03 00:00:00,2024-04-03 02:00:00,Line2,process_D
