LotNo,生産量,生産開始時刻,生産終了時刻,生産設備名,工程名
LOT1041,183,2024-04-03 01:00:00,2024-04-03 03:00:00,Line3,process_E
LOT1042,124,2024-04-03 02:00:00,2024-04-03 04:00:00,Line2,process_E
LOT1043,121,2024-04-03 03:00:00,2024-04-03 05:00:00,Line2,process_E
LOT1044,171,2024-04-03 04:00:00,2024-04-03 06:00:00,Line1,process_E
LOT1045,205,2024-04-03 05:00:00,2024-04-03 07:00:00,Line1,process_E
LOT1046,443,2024-04-03 06:00:00,2024-04-03 08:00:00,Line3,process_E
LOT1047,342,2024-04-03 07:00:00,2024-04-03 09:00:00,Line1,process_E
LOT1048,258,2024-04-03 08:00:00,2024-04-03 10:00:00,Line3,process_E
LOT1049,226,2024-04-03 09:00:00,2024-04-03 11:00:00,Line2,process_E
LOT1050,426,2024-04-03 10:00:00,2024-04-03 12:00:00,Line3,process_E
